NAME,PRICE,CUSINE_CATEGORY,REGION,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,DAYS_OPEN
Restaurant_24,847,Fast Food,Goregaon,Casual Dining,12noon to 1am,Very Good,3.4,3983,Mon-Sun
Restaurant_25,574,Cafe,Thane,Dessert Parlor,12noon to 1am,Average,4.6,582,Mon-Sun
Restaurant_26,1182,North Indian,Powai,Dessert Parlor,12noon to 1am,Very Good,4.1,2046,Mon-Sun
Restaurant_27,2147,Fast Food,Dadar,Fine Dining,12noon to 1am,Good,4.1,2410,Mon-Sun
Restaurant_28,1075,Cafe,Thane,Cafe,10am to 11pm,Poor,2.9,4899,Tue-Sun
Restaurant_29,1906,Fast Food,Andheri,Cafe,11am to 12midnight,Poor,3.4,7958,Mon-Sun
Restaurant_30,289,Cafe,Bandra,Dessert Parlor,11am to 12midnight,Poor,4.6,9625,Mon-Fri
Restaurant_31,662,North Indian,Goregaon,Cafe,12noon to 1am,Poor,3.0,9352,Mon-Fri
Restaurant_32,1999,Cafe,Powai,Dessert Parlor,11am to 12midnight,Very Good,4.9,8501,Mon-Sun
Restaurant_33,1367,Italian,Thane,Casual Dining,11am to 12midnight,Good,4.6,167,Mon-Sun
Restaurant_34,1628,Fast Food,Chembur,Cafe,10am to 11pm,Very Good,3.2,4235,Tue-Sun
Restaurant_35,746,North Indian,Borivali,Casual Dining,12noon to 1am,Poor,2.8,4941,Mon-Fri
Restaurant_36,2168,Cafe,Chembur,Quick Bites,10am to 11pm,Good,2.9,7382,Tue-Sun
Restaurant_37,2314,Italian,Goregaon,Fine Dining,11am to 12midnight,Average,3.1,559,Mon-Sun
Restaurant_38,1397,Italian,Dadar,Fine Dining,12noon to 1am,Very Good,3.1,7642,Mon-Fri
Restaurant_39,700,Seafood,Chembur,Cafe,12noon to 1am,Excellent,2.5,9376,Tue-Sun
Restaurant_40,2463,Italian,Powai,Dessert Parlor,12noon to 1am,Average,4.3,8697,Tue-Sun
Restaurant_41,2161,Chinese,Malad,Fine Dining,12noon to 1am,Average,4.9,1090,Tue-Sun
Restaurant_42,341,North Indian,Bandra,Dessert Parlor,12noon to 1am,Poor,3.2,8402,Mon-Fri
Restaurant_43,2141,North Indian,Chembur,Fine Dining,12noon to 1am,Poor,2.5,3864,Tue-Sun
Restaurant_44,1463,North Indian,Bandra,Quick Bites,10am to 11pm,Average,4.8,3915,Tue-Sun
Restaurant_45,2239,Cafe,Powai,Dessert Parlor,10am to 11pm,Very Good,3.0,1254,Mon-Fri
Restaurant_46,1490,Fast Food,Andheri,Casual Dining,11am to 12midnight,Good,2.5,3800,Mon-Sun
Restaurant_47,1578,Cafe,Thane,Dessert Parlor,12noon to 1am,Very Good,3.1,6092,Tue-Sun
Restaurant_48,875,Chinese,Goregaon,Quick Bites,12noon to 1am,Very Good,2.8,9115,Mon-Sun
Restaurant_49,134,Fast Food,Powai,Bar,10am to 11pm,Average,4.3,1518,Mon-Fri
Restaurant_50,2353,Italian,Vashi,Bar,11am to 12midnight,Very Good,2.5,6125,Mon-Fri
Restaurant_51,2055,Cafe,Borivali,Casual Dining,11am to 12midnight,Good,3.6,1840,Tue-Sun
Restaurant_52,1685,Fast Food,Vashi,Bar,12noon to 1am,Average,3.7,784,Tue-Sun
Restaurant_53,1121,Italian,Vashi,Dessert Parlor,11am to 12midnight,Very Good,4.5,96,Mon-Fri
Restaurant_54,1229,Fast Food,Bandra,Quick Bites,11am to 12midnight,Poor,3.8,389,Tue-Sun
Restaurant_55,1600,Italian,Chembur,Fine Dining,12noon to 1am,Very Good,2.8,7971,Tue-Sun
Restaurant_56,802,Fast Food,Powai,Casual Dining,12noon to 1am,Average,3.6,4221,Mon-Sun
Restaurant_57,1679,Cafe,Dadar,Bar,12noon to 1am,Average,4.8,1880,Mon-Sun
Restaurant_58,261,Cafe,Goregaon,Dessert Parlor,10am to 11pm,Poor,3.1,5537,Mon-Fri
Restaurant_59,301,Chinese,Malad,Fine Dining,12noon to 1am,Average,3.2,8417,Tue-Sun
Restaurant_60,2081,Seafood,Vashi,Fine Dining,11am to 12midnight,Excellent,4.7,6103,Tue-Sun
Restaurant_61,1095,North Indian,Borivali,Dessert Parlor,10am to 11pm,Average,4.5,6662,Mon-Sun
Restaurant_62,2417,Cafe,Chembur,Cafe,11am to 12midnight,Very Good,3.2,2921,Tue-Sun
Restaurant_63,915,Cafe,Thane,Cafe,10am to 11pm,Good,4.3,7916,Mon-Sun
Restaurant_64,555,Italian,Powai,Quick Bites,12noon to 1am,Very Good,2.7,9130,Mon-Fri
Restaurant_65,1375,Seafood,Andheri,Casual Dining,11am to 12midnight,Average,3.9,5515,Mon-Fri
Restaurant_66,1116,Cafe,Borivali,Bar,10am to 11pm,Excellent,4.7,8406,Mon-Fri
Restaurant_67,2443,Fast Food,Bandra,Bar,11am to 12midnight,Very Good,4.6,7110,Mon-Fri
Restaurant_68,437,Seafood,Goregaon,Dessert Parlor,12noon to 1am,Good,3.0,5099,Mon-Fri
Restaurant_69,978,North Indian,Vashi,Bar,10am to 11pm,Very Good,3.8,5716,Tue-Sun
Restaurant_70,1176,Fast Food,Dadar,Quick Bites,11am to 12midnight,Poor,3.5,9198,Tue-Sun
Restaurant_71,891,Italian,Andheri,Cafe,10am to 11pm,Excellent,3.9,405,Tue-Sun
Restaurant_72,2364,Chinese,Malad,Dessert Parlor,12noon to 1am,Average,2.7,1627,Mon-Sun
Restaurant_73,863,Fast Food,Vashi,Casual Dining,10am to 11pm,Very Good,5.0,342,Tue-Sun
Restaurant_74,2335,North Indian,Dadar,Dessert Parlor,10am to 11pm,Very Good,3.9,6122,Mon-Sun
Restaurant_75,479,Fast Food,Bandra,Bar,11am to 12midnight,Very Good,2.8,8635,Tue-Sun
Restaurant_76,592,Seafood,Bandra,Quick Bites,10am to 11pm,Very Good,4.1,5005,Mon-Fri
Restaurant_77,1280,Seafood,Chembur,Casual Dining,12noon to 1am,Good,2.5,5806,Mon-Sun
Restaurant_78,2162,North Indian,Thane,Dessert Parlor,11am to 12midnight,Poor,2.5,7923,Mon-Sun
Restaurant_79,164,Seafood,Malad,Bar,10am to 11pm,Poor,2.9,9429,Tue-Sun
Restaurant_80,1467,Fast Food,Thane,Dessert Parlor,12noon to 1am,Excellent,3.2,1998,Tue-Sun
Restaurant_81,1252,Chinese,Andheri,Casual Dining,12noon to 1am,Excellent,3.2,5858,Mon-Sun
Restaurant_82,2127,Fast Food,Chembur,Bar,10am to 11pm,Good,3.6,4413,Tue-Sun
Restaurant_83,1595,Chinese,Bandra,Cafe,10am to 11pm,Poor,3.8,8792,Mon-Sun
Restaurant_84,1262,Seafood,Bandra,Fine Dining,11am to 12midnight,Excellent,3.6,8157,Mon-Sun
Restaurant_85,1622,Fast Food,Vashi,Casual Dining,12noon to 1am,Average,3.4,7664,Mon-Fri
Restaurant_86,491,Seafood,Powai,Cafe,12noon to 1am,Poor,4.2,3413,Tue-Sun
Restaurant_87,1798,Chinese,Borivali,Cafe,12noon to 1am,Very Good,3.1,7327,Mon-Fri
Restaurant_88,518,Seafood,Bandra,Bar,10am to 11pm,Poor,4.1,1761,Tue-Sun
Restaurant_89,2436,Cafe,Goregaon,Dessert Parlor,10am to 11pm,Average,4.9,7901,Mon-Sun
Restaurant_90,478,Italian,Borivali,Dessert Parlor,10am to 11pm,Very Good,3.7,3321,Mon-Sun
Restaurant_91,1896,Fast Food,Vashi,Quick Bites,11am to 12midnight,Poor,3.8,7107,Mon-Fri
Restaurant_92,2378,Cafe,Goregaon,Casual Dining,12noon to 1am,Very Good,4.3,982,Tue-Sun
Restaurant_93,2188,Seafood,Borivali,Casual Dining,12noon to 1am,Very Good,3.8,5794,Tue-Sun
Restaurant_94,2282,Seafood,Thane,Bar,10am to 11pm,Good,2.9,2777,Mon-Fri
Restaurant_95,300,Italian,Borivali,Bar,11am to 12midnight,Average,4.0,3047,Mon-Sun
Restaurant_96,1963,Seafood,Chembur,Quick Bites,11am to 12midnight,Good,3.8,4362,Mon-Fri
Restaurant_97,879,Italian,Bandra,Quick Bites,11am to 12midnight,Poor,4.9,549,Mon-Fri
Restaurant_98,602,Fast Food,Chembur,Cafe,11am to 12midnight,Very Good,2.7,744,Mon-Sun
Restaurant_99,1851,Chinese,Powai,Fine Dining,11am to 12midnight,Poor,3.8,4717,Mon-Fri
Restaurant_100,904,Italian,Thane,Quick Bites,10am to 11pm,Poor,4.0,7609,Tue-Sun
Restaurant_101,2246,Italian,Andheri,Dessert Parlor,10am to 11pm,Good,4.0,374,Tue-Sun
Restaurant_102,1995,Cafe,Vashi,Cafe,10am to 11pm,Poor,2.6,5243,Mon-Fri
Restaurant_103,1670,Seafood,Bandra,Fine Dining,12noon to 1am,Average,3.3,4043,Mon-Sun
Restaurant_104,1060,Fast Food,Andheri,Quick Bites,11am to 12midnight,Very Good,3.2,320,Tue-Sun
Restaurant_105,1585,Chinese,Andheri,Fine Dining,11am to 12midnight,Excellent,4.2,4462,Tue-Sun
Restaurant_106,1128,North Indian,Vashi,Dessert Parlor,12noon to 1am,Average,4.3,2727,Mon-Fri
Restaurant_107,602,Italian,Andheri,Dessert Parlor,11am to 12midnight,Excellent,3.0,8445,Mon-Sun
Restaurant_108,497,North Indian,Dadar,Cafe,11am to 12midnight,Excellent,4.6,2539,Tue-Sun
Restaurant_109,970,Seafood,Chembur,Cafe,11am to 12midnight,Good,3.7,7817,Mon-Sun
Restaurant_110,492,Italian,Malad,Dessert Parlor,11am to 12midnight,Excellent,3.2,2186,Tue-Sun
Restaurant_111,306,North Indian,Malad,Bar,11am to 12midnight,Very Good,3.2,2593,Mon-Sun
Restaurant_112,1138,Cafe,Powai,Cafe,10am to 11pm,Good,3.2,5524,Tue-Sun
Restaurant_113,1981,North Indian,Bandra,Casual Dining,11am to 12midnight,Average,4.0,8303,Mon-Fri
Restaurant_114,1584,Cafe,Powai,Bar,10am to 11pm,Average,3.8,9856,Mon-Sun
Restaurant_115,963,Chinese,Bandra,Casual Dining,10am to 11pm,Average,4.8,5391,Mon-Sun
Restaurant_116,663,Seafood,Malad,Fine Dining,10am to 11pm,Poor,3.2,8979,Tue-Sun
Restaurant_117,1120,Fast Food,Goregaon,Fine Dining,10am to 11pm,Good,3.3,5065,Mon-Sun
Restaurant_118,195,North Indian,Powai,Fine Dining,12noon to 1am,Good,2.5,2043,Mon-Sun
Restaurant_119,2023,Italian,Chembur,Quick Bites,10am to 11pm,Good,3.2,8569,Tue-Sun
Restaurant_120,1857,Seafood,Chembur,Cafe,12noon to 1am,Very Good,3.1,7803,Mon-Fri
Restaurant_121,2378,North Indian,Dadar,Cafe,12noon to 1am,Good,3.5,3039,Mon-Fri
Restaurant_122,1778,Italian,Malad,Dessert Parlor,10am to 11pm,Very Good,3.7,7450,Mon-Fri
Restaurant_123,640,Italian,Powai,Cafe,11am to 12midnight,Average,4.2,4620,Tue-Sun
Restaurant_124,1159,Fast Food,Chembur,Fine Dining,11am to 12midnight,Poor,3.0,8965,Mon-Fri
Restaurant_125,1283,Fast Food,Malad,Casual Dining,10am to 11pm,Excellent,3.9,1801,Mon-Sun
Restaurant_126,1822,Italian,Chembur,Bar,10am to 11pm,Poor,4.3,7335,Mon-Sun
Restaurant_127,1919,Fast Food,Bandra,Quick Bites,12noon to 1am,Poor,3.1,6635,Mon-Fri
Restaurant_128,1697,Italian,Vashi,Bar,12noon to 1am,Poor,3.4,3876,Mon-Sun
Restaurant_129,895,North Indian,Thane,Casual Dining,11am to 12midnight,Excellent,3.0,9101,Mon-Sun
Restaurant_130,1151,Chinese,Goregaon,Quick Bites,12noon to 1am,Very Good,2.8,9642,Mon-Fri
Restaurant_131,1743,Fast Food,Malad,Dessert Parlor,12noon to 1am,Average,4.4,4020,Tue-Sun
Restaurant_132,1463,Cafe,Dadar,Cafe,10am to 11pm,Excellent,3.1,5780,Mon-Fri
Restaurant_133,2081,Cafe,Powai,Cafe,12noon to 1am,Average,3.4,6653,Tue-Sun
Restaurant_134,1454,Cafe,Dadar,Dessert Parlor,12noon to 1am,Very Good,3.1,3928,Mon-Sun
Restaurant_135,1763,Chinese,Goregaon,Casual Dining,12noon to 1am,Average,2.6,7005,Mon-Fri
Restaurant_136,1629,Italian,Goregaon,Dessert Parlor,11am to 12midnight,Very Good,4.3,3771,Mon-Sun
Restaurant_137,2138,Italian,Goregaon,Fine Dining,10am to 11pm,Excellent,4.1,6843,Mon-Sun
Restaurant_138,1596,Seafood,Goregaon,Casual Dining,11am to 12midnight,Excellent,3.7,9431,Tue-Sun
Restaurant_139,2337,Cafe,Chembur,Quick Bites,10am to 11pm,Average,4.2,2849,Mon-Sun
Restaurant_140,1508,Cafe,Borivali,Bar,10am to 11pm,Average,4.6,2881,Tue-Sun
Restaurant_141,1500,Italian,Powai,Bar,12noon to 1am,Poor,4.0,1323,Mon-Fri
Restaurant_142,1406,Cafe,Powai,Dessert Parlor,11am to 12midnight,Poor,4.8,2650,Mon-Sun
Restaurant_143,1072,Italian,Thane,Cafe,11am to 12midnight,Average,3.0,7313,Tue-Sun
Restaurant_144,1868,Italian,Vashi,Dessert Parlor,12noon to 1am,Poor,4.7,4010,Mon-Fri
Restaurant_145,1382,Fast Food,Bandra,Cafe,11am to 12midnight,Average,3.9,3356,Mon-Sun
Restaurant_146,809,Italian,Thane,Dessert Parlor,10am to 11pm,Good,4.6,405,Mon-Fri
Restaurant_147,1579,North Indian,Bandra,Dessert Parlor,10am to 11pm,Poor,4.4,2061,Mon-Sun
Restaurant_148,1534,North Indian,Borivali,Bar,10am to 11pm,Average,2.6,9448,Mon-Sun
Restaurant_149,748,North Indian,Malad,Fine Dining,12noon to 1am,Good,4.6,6600,Mon-Fri
Restaurant_150,417,North Indian,Goregaon,Cafe,11am to 12midnight,Poor,3.3,9397,Mon-Sun
Restaurant_151,1357,Chinese,Borivali,Fine Dining,10am to 11pm,Excellent,3.6,9601,Mon-Fri
Restaurant_152,783,Seafood,Borivali,Fine Dining,12noon to 1am,Average,2.5,4254,Mon-Sun
Restaurant_153,763,Seafood,Borivali,Fine Dining,10am to 11pm,Excellent,4.4,7472,Mon-Sun
Restaurant_154,2098,Italian,Borivali,Bar,10am to 11pm,Poor,3.7,2900,Mon-Sun
Restaurant_155,1731,Cafe,Borivali,Fine Dining,11am to 12midnight,Good,4.8,8746,Tue-Sun
Restaurant_156,1595,North Indian,Dadar,Cafe,12noon to 1am,Average,3.2,4063,Mon-Sun
Restaurant_157,1236,Seafood,Bandra,Quick Bites,10am to 11pm,Good,3.7,432,Mon-Sun
Restaurant_158,1953,Seafood,Dadar,Fine Dining,10am to 11pm,Excellent,3.5,6948,Tue-Sun
Restaurant_159,1620,North Indian,Borivali,Fine Dining,12noon to 1am,Average,4.5,4837,Tue-Sun
Restaurant_160,663,Chinese,Goregaon,Quick Bites,12noon to 1am,Excellent,3.8,4576,Mon-Sun
Restaurant_161,1391,Chinese,Andheri,Fine Dining,11am to 12midnight,Excellent,3.6,8882,Mon-Sun
Restaurant_162,1736,Seafood,Powai,Quick Bites,10am to 11pm,Good,4.9,3859,Mon-Sun
Restaurant_163,798,Chinese,Bandra,Casual Dining,11am to 12midnight,Poor,3.4,5536,Mon-Fri
Restaurant_164,2260,Fast Food,Goregaon,Bar,10am to 11pm,Excellent,3.7,3286,Mon-Fri
Restaurant_165,101,North Indian,Powai,Bar,11am to 12midnight,Excellent,3.9,680,Mon-Fri
Restaurant_166,741,Seafood,Borivali,Quick Bites,10am to 11pm,Very Good,2.6,2212,Mon-Sun
Restaurant_167,2367,North Indian,Dadar,Dessert Parlor,12noon to 1am,Good,3.8,6422,Mon-Sun
Restaurant_168,1689,Chinese,Dadar,Bar,11am to 12midnight,Excellent,3.3,9664,Mon-Fri
Restaurant_169,954,North Indian,Andheri,Cafe,12noon to 1am,Very Good,4.1,2627,Tue-Sun
Restaurant_170,1859,Chinese,Vashi,Bar,10am to 11pm,Good,4.1,2822,Tue-Sun
Restaurant_171,1761,Chinese,Borivali,Bar,12noon to 1am,Average,4.3,9528,Mon-Sun
Restaurant_172,1253,North Indian,Goregaon,Cafe,11am to 12midnight,Poor,3.5,107,Mon-Sun
Restaurant_173,1176,Chinese,Thane,Quick Bites,11am to 12midnight,Good,2.8,3128,Mon-Sun
Restaurant_174,1807,Fast Food,Chembur,Quick Bites,12noon to 1am,Excellent,3.6,2000,Mon-Fri
Restaurant_175,1795,Italian,Thane,Cafe,10am to 11pm,Very Good,3.9,6965,Mon-Fri
Restaurant_176,1833,North Indian,Dadar,Bar,11am to 12midnight,Very Good,2.6,5333,Mon-Fri
Restaurant_177,1539,Italian,Thane,Fine Dining,10am to 11pm,Average,3.9,2671,Mon-Sun
Restaurant_178,2394,North Indian,Bandra,Bar,11am to 12midnight,Very Good,3.5,6159,Tue-Sun
Restaurant_179,935,Chinese,Dadar,Quick Bites,10am to 11pm,Excellent,3.7,355,Mon-Fri
Restaurant_180,302,Chinese,Borivali,Fine Dining,10am to 11pm,Good,3.3,8092,Tue-Sun
Restaurant_181,222,Seafood,Borivali,Casual Dining,12noon to 1am,Average,3.7,5394,Tue-Sun
Restaurant_182,500,Fast Food,Bandra,Quick Bites,10am to 11pm,Poor,4.7,3158,Tue-Sun
Restaurant_183,866,Seafood,Chembur,Cafe,11am to 12midnight,Poor,4.5,1963,Tue-Sun
Restaurant_184,393,Italian,Powai,Fine Dining,12noon to 1am,Excellent,4.0,4808,Tue-Sun
Restaurant_185,2427,Chinese,Bandra,Casual Dining,11am to 12midnight,Average,4.1,2795,Mon-Fri
Restaurant_186,297,Seafood,Powai,Casual Dining,12noon to 1am,Average,4.7,7910,Tue-Sun
Restaurant_187,2030,Chinese,Malad,Cafe,12noon to 1am,Excellent,3.7,8688,Mon-Sun
Restaurant_188,2291,North Indian,Dadar,Fine Dining,10am to 11pm,Average,3.8,9109,Mon-Fri
Restaurant_189,708,Seafood,Andheri,Dessert Parlor,10am to 11pm,Very Good,4.7,7051,Tue-Sun
Restaurant_190,1247,Italian,Chembur,Quick Bites,11am to 12midnight,Very Good,4.4,5048,Tue-Sun
Restaurant_191,286,Seafood,Vashi,Bar,11am to 12midnight,Excellent,3.6,1133,Mon-Fri
Restaurant_192,1894,Chinese,Chembur,Fine Dining,10am to 11pm,Excellent,3.3,9534,Tue-Sun
Restaurant_193,759,Cafe,Powai,Quick Bites,11am to 12midnight,Very Good,3.8,8283,Mon-Sun
Restaurant_194,2055,Cafe,Malad,Cafe,11am to 12midnight,Good,2.8,6622,Tue-Sun
Restaurant_195,1469,Fast Food,Powai,Bar,10am to 11pm,Excellent,4.2,961,Mon-Fri
Restaurant_196,2086,Chinese,Dadar,Dessert Parlor,12noon to 1am,Very Good,3.7,6687,Mon-Fri
Restaurant_197,1634,North Indian,Powai,Cafe,10am to 11pm,Good,4.0,130,Mon-Fri
Restaurant_198,246,Seafood,Goregaon,Quick Bites,11am to 12midnight,Good,4.6,2708,Mon-Sun
Restaurant_199,1834,Cafe,Borivali,Casual Dining,12noon to 1am,Very Good,3.4,1648,Tue-Sun
Restaurant_200,1943,North Indian,Vashi,Cafe,10am to 11pm,Very Good,3.7,6705,Mon-Fri
Restaurant_201,588,Chinese,Malad,Cafe,12noon to 1am,Average,3.9,7987,Mon-Sun
Restaurant_202,2059,North Indian,Goregaon,Quick Bites,11am to 12midnight,Good,3.2,3856,Mon-Sun
Restaurant_203,1763,Chinese,Powai,Dessert Parlor,12noon to 1am,Poor,3.2,8016,Mon-Fri
Restaurant_204,2485,Fast Food,Vashi,Quick Bites,11am to 12midnight,Average,3.8,5697,Mon-Fri
Restaurant_205,740,Seafood,Chembur,Quick Bites,10am to 11pm,Average,3.1,9551,Mon-Sun
Restaurant_206,1902,North Indian,Thane,Dessert Parlor,12noon to 1am,Good,4.7,6243,Mon-Fri
Restaurant_207,2069,Seafood,Goregaon,Dessert Parlor,12noon to 1am,Good,5.0,8146,Mon-Fri
Restaurant_208,2298,North Indian,Thane,Cafe,12noon to 1am,Good,3.0,7937,Mon-Sun
Restaurant_209,1538,Chinese,Bandra,Casual Dining,11am to 12midnight,Excellent,3.9,5037,Tue-Sun
Restaurant_210,1734,Chinese,Thane,Quick Bites,10am to 11pm,Very Good,2.9,4492,Mon-Fri
Restaurant_211,362,North Indian,Goregaon,Casual Dining,10am to 11pm,Very Good,3.0,3078,Mon-Sun
Restaurant_212,1887,Fast Food,Andheri,Dessert Parlor,11am to 12midnight,Very Good,4.4,3266,Mon-Fri
Restaurant_213,2291,Chinese,Dadar,Dessert Parlor,12noon to 1am,Good,3.0,2677,Mon-Fri
Restaurant_214,2493,Italian,Bandra,Quick Bites,11am to 12midnight,Average,4.4,5577,Tue-Sun
Restaurant_215,723,Italian,Thane,Cafe,11am to 12midnight,Good,3.5,4263,Mon-Fri
Restaurant_216,1116,Seafood,Powai,Quick Bites,10am to 11pm,Good,3.7,6068,Mon-Fri
Restaurant_217,980,Italian,Goregaon,Cafe,11am to 12midnight,Average,3.1,433,Mon-Fri
Restaurant_218,2149,Italian,Malad,Bar,12noon to 1am,Poor,3.9,743,Mon-Sun
Restaurant_219,1427,Fast Food,Powai,Cafe,11am to 12midnight,Excellent,3.3,674,Mon-Fri
Restaurant_220,2401,Fast Food,Chembur,Quick Bites,11am to 12midnight,Poor,2.9,3431,Mon-Fri
Restaurant_221,552,Cafe,Powai,Quick Bites,11am to 12midnight,Good,2.8,5155,Mon-Sun
Restaurant_222,1283,Cafe,Goregaon,Cafe,12noon to 1am,Very Good,5.0,2380,Mon-Fri
Restaurant_223,2156,Fast Food,Andheri,Casual Dining,11am to 12midnight,Very Good,3.4,8374,Mon-Fri
Restaurant_224,1782,Cafe,Chembur,Cafe,10am to 11pm,Average,4.5,8914,Mon-Fri
Restaurant_225,2355,Fast Food,Dadar,Bar,11am to 12midnight,Good,3.4,5074,Tue-Sun
Restaurant_226,1254,Cafe,Thane,Bar,11am to 12midnight,Average,4.1,7268,Mon-Sun
Restaurant_227,503,Chinese,Bandra,Casual Dining,10am to 11pm,Average,4.6,641,Mon-Sun
Restaurant_228,2299,Fast Food,Chembur,Bar,10am to 11pm,Excellent,4.2,4228,Mon-Sun
Restaurant_229,2201,Seafood,Thane,Quick Bites,10am to 11pm,Average,2.7,7047,Tue-Sun
Restaurant_230,1796,Seafood,Malad,Casual Dining,10am to 11pm,Good,3.0,3546,Mon-Sun
Restaurant_231,727,Fast Food,Chembur,Casual Dining,10am to 11pm,Excellent,4.7,3552,Mon-Sun
Restaurant_232,686,Italian,Chembur,Casual Dining,10am to 11pm,Very Good,3.7,7522,Mon-Sun
Restaurant_233,1748,Seafood,Bandra,Fine Dining,12noon to 1am,Excellent,4.0,1320,Mon-Fri
Restaurant_234,1543,Italian,Thane,Cafe,11am to 12midnight,Good,2.6,783,Tue-Sun
Restaurant_235,1545,Seafood,Dadar,Cafe,12noon to 1am,Poor,3.7,1518,Mon-Fri
Restaurant_236,203,North Indian,Bandra,Casual Dining,12noon to 1am,Excellent,3.6,968,Mon-Sun
Restaurant_237,353,North Indian,Thane,Bar,10am to 11pm,Poor,4.2,2731,Mon-Fri
Restaurant_238,1596,Fast Food,Dadar,Fine Dining,11am to 12midnight,Excellent,3.2,161,Mon-Sun
Restaurant_239,198,Seafood,Malad,Fine Dining,12noon to 1am,Excellent,4.4,4035,Mon-Fri
Restaurant_240,2300,Chinese,Andheri,Quick Bites,11am to 12midnight,Average,4.2,5843,Mon-Fri
Restaurant_241,1984,Italian,Bandra,Quick Bites,11am to 12midnight,Poor,3.8,9603,Tue-Sun
Restaurant_242,2019,Seafood,Thane,Cafe,10am to 11pm,Poor,3.4,2372,Mon-Sun
Restaurant_243,977,Fast Food,Dadar,Dessert Parlor,11am to 12midnight,Excellent,3.3,1825,Tue-Sun
Restaurant_244,437,Italian,Dadar,Casual Dining,12noon to 1am,Good,3.8,8135,Mon-Sun
Restaurant_245,1056,Cafe,Chembur,Dessert Parlor,12noon to 1am,Good,3.9,1339,Mon-Sun
Restaurant_246,1804,Fast Food,Chembur,Quick Bites,10am to 11pm,Poor,3.6,9479,Mon-Sun
Restaurant_247,260,Seafood,Thane,Cafe,12noon to 1am,Average,3.3,7654,Mon-Fri
Restaurant_248,1703,Chinese,Powai,Cafe,10am to 11pm,Average,4.7,1120,Tue-Sun
Restaurant_249,497,Cafe,Malad,Cafe,12noon to 1am,Good,3.3,1324,Mon-Sun
Restaurant_250,1400,Fast Food,Goregaon,Cafe,12noon to 1am,Average,4.2,6530,Mon-Sun
Restaurant_251,915,Seafood,Goregaon,Cafe,10am to 11pm,Excellent,4.8,8031,Mon-Fri
Restaurant_252,1627,North Indian,Dadar,Casual Dining,11am to 12midnight,Excellent,4.1,7823,Mon-Sun
Restaurant_253,2019,Seafood,Dadar,Fine Dining,10am to 11pm,Poor,3.4,2753,Mon-Sun
Restaurant_254,1515,North Indian,Andheri,Dessert Parlor,11am to 12midnight,Very Good,3.2,5472,Mon-Fri
Restaurant_255,1258,North Indian,Borivali,Fine Dining,11am to 12midnight,Good,4.6,8966,Mon-Fri
Restaurant_256,1318,Fast Food,Dadar,Quick Bites,10am to 11pm,Good,3.7,1902,Mon-Fri
