sqft,bedrooms,bathrooms,age,price
1916,2,3,25,129155
603,3,3,14,452816
2296,4,1,29,236081
648,3,2,5,140679
2147,4,3,28,418100
1756,2,3,21,124308
2183,4,1,0,448575
788,3,1,12,380171
2440,2,3,7,254777
2491,1,3,15,426076
2832,4,2,23,478656
2310,3,3,16,435870
1294,3,2,1,462243
1896,4,2,13,447146
1682,1,1,11,389353
2999,4,3,8,208128
1993,3,3,4,86544
2090,2,3,4,98987
1582,3,3,14,165526
1283,4,3,25,297615
1219,1,2,24,384787
2703,3,2,15,340156
1540,3,2,2,83624
1718,3,3,4,205606
601,2,3,19,377933
651,1,3,11,117047
2784,1,3,15,398925
2654,2,1,23,406986
681,2,1,8,188520
2272,1,3,24,306480
2506,1,1,13,358994
714,1,3,18,245942
1752,4,1,9,264288
599,1,2,7,393344
1067,3,2,14,80814
2579,1,2,9,78409
2262,4,3,21,161648
622,3,1,0,470588
2334,2,2,13,389270
1029,2,2,0,313986
2225,3,3,22,166342
1048,3,3,29,166254
2081,1,1,15,218698
2101,3,3,13,412031
2242,4,1,17,238222
1918,4,3,17,295471
963,3,1,22,244322
2772,4,1,12,359448
1645,1,2,1,481065
2433,4,2,29,311026
691,2,1,11,236458
1217,1,1,10,147121
662,1,1,15,490162
1865,1,3,21,448822
2277,2,2,14,73637
2210,1,2,29,351674
2518,4,1,27,54617
1602,3,1,4,159707
2896,3,2,23,211324
1425,3,1,21,219468
1160,2,1,3,122911
2888,4,3,12,139040
2331,4,1,14,421884
2478,4,2,12,233394
2759,1,1,26,214167
674,4,2,16,149565
2238,1,2,1,62776
2188,1,3,4,181741
2473,3,3,11,438052
2656,4,2,22,439621
1357,4,3,14,265867
883,3,2,27,349528
2288,4,1,13,446999
1158,4,3,18,443556
2625,2,1,2,462198
1312,1,1,4,190480
759,3,2,13,387128
2169,4,1,3,440402
2676,3,3,23,348430
2729,3,1,3,296311
835,2,1,26,183919
1099,1,2,28,106589
2521,2,1,4,378405
2864,3,2,0,133901
2467,1,3,24,66245
1820,1,2,20,454178
1496,3,3,14,339223
880,4,3,14,383912
1971,4,2,4,178932
2211,3,1,1,348129
2604,3,2,17,54180
1403,3,1,3,54279
1157,4,2,17,154854
1740,3,1,17,427093
2967,3,1,3,317658
1657,3,1,0,65703
1456,4,3,10,383770
577,3,3,16,118701
1540,2,3,20,312974
2804,1,3,28,479150
2399,1,2,22,482667
1155,2,2,13,83908
2069,2,1,25,137888
1888,3,2,27,306245
887,2,2,25,279902
1311,1,2,11,472517
1833,2,2,0,154961
942,4,3,15,221218
2374,3,3,7,354157
1351,2,1,26,250969
1949,1,2,13,153587
618,3,1,22,158967
1678,1,2,23,370900
1290,3,1,14,101407
2363,2,1,0,62522
2230,4,1,9,375616
1843,1,3,17,445408
1822,3,3,0,66327
1806,3,3,29,155079
776,2,1,15,478480
559,2,3,5,457944
1567,3,3,9,138679
1931,4,1,7,339465
2603,4,1,28,152776
1869,2,1,22,135491
2374,1,1,26,109590
1795,3,2,23,222052
2425,1,2,28,144488
1056,4,3,12,317535
1557,2,1,24,418453
1216,1,2,20,166770
1055,3,2,12,296886
1232,4,3,26,79224
1371,4,3,29,416757
1320,3,1,26,328315
1001,3,3,17,116201
2895,2,1,29,69663
758,4,1,28,169553
2796,3,3,23,293711
1756,4,3,19,385455
1164,2,2,27,494995
2165,3,1,5,147773
1336,2,1,8,351864
613,4,2,23,481423
748,3,1,18,120275
1958,1,3,27,400299
2025,2,3,14,434655
756,2,3,29,97211
1369,1,3,10,275930
2491,1,1,23,457211
1185,3,3,0,173232
1445,4,1,4,190934
1160,4,2,5,159679
845,3,2,25,238401
1409,2,3,29,107774
1629,4,1,2,129447
1098,1,1,9,131049
2865,3,2,28,70575
1354,1,1,9,291945
2117,2,3,9,488987
2839,2,3,16,427029
2865,3,3,2,391401
869,4,2,0,435523
1366,2,3,5,115121
1646,1,2,4,198958
1183,4,3,28,50338
1190,4,3,29,108995
2064,3,3,17,376835
1270,4,1,24,473085
1616,3,3,0,308757
2662,3,3,7,428868
1366,2,1,6,209208
1049,2,3,5,72203
1064,3,1,23,302474
1012,1,1,6,130636
595,2,2,7,403982
1633,3,3,19,102222
2459,1,1,6,377486
1541,1,3,20,237478
1201,4,2,22,411228
857,3,1,11,408054
1640,1,1,2,199404
1335,3,3,10,324333
2256,3,1,7,151519
2563,3,2,9,192132
2962,4,2,27,496009
532,4,3,15,137643
1500,3,2,11,253803
2599,3,1,7,119542
1459,2,1,18,291369
774,4,2,5,245050
2821,1,3,4,272021
644,4,1,10,399279
2626,2,3,27,489783
766,4,2,13,358413
1347,4,2,12,375271
1512,2,3,12,278294
1248,3,2,1,385806
2464,3,3,13,424844
2095,1,1,14,249684
2454,4,1,24,186658
2535,2,3,27,392730
1131,4,1,5,98286
1696,1,3,23,292306
2881,3,1,4,94443
829,4,1,26,398063
2100,1,2,28,185458
2193,2,2,15,406650
2945,4,3,5,127399
995,3,2,23,74033
2979,3,2,5,217716
2033,4,3,10,164147
2145,3,1,11,65615
2608,2,1,23,201076
2244,3,2,13,463190
2367,4,2,7,311166
1436,2,1,29,492133
1086,4,2,8,215711
2023,2,3,19,174166
2378,2,2,26,482399
2802,3,2,12,482809
2684,3,3,13,158466
2780,4,2,9,313905
1874,4,3,28,192344
1962,4,2,2,433203
2110,3,1,2,496384
2220,3,2,29,444871
1821,1,1,3,80722
2106,2,1,29,172823
1593,4,1,1,241577
1065,4,3,20,352256
1935,2,3,17,327455
2908,1,1,25,340773
1357,1,3,0,136618
1022,4,2,19,405921
950,1,1,12,142447
1999,3,2,17,451366
773,3,3,9,105164
1025,3,3,3,454139
2420,4,3,4,436022
753,2,1,28,154224
1953,2,1,18,382729
1882,2,2,25,379584
1455,1,3,24,445667
2347,1,3,8,453287
1632,3,2,27,494734
1355,1,3,23,160007
2044,3,1,22,250376
2901,1,1,8,161357
2920,3,1,26,262689
737,4,2,14,394885
1326,4,1,15,364630
1126,1,2,29,384290
2168,1,1,9,116936
1792,3,1,10,228632
2921,3,3,29,120462
1158,1,1,1,248033
2254,4,3,5,437425
2020,4,3,8,217544
1920,1,3,11,156283
2658,1,1,25,470164
1998,4,1,13,236772
1387,3,1,18,313102
2149,4,1,9,219845
1312,3,2,6,127672
2534,1,3,18,477636
1546,4,2,18,439972
2161,3,2,12,325806
1324,3,1,19,79260
2454,4,3,15,236811
2129,1,3,4,280451
2052,2,2,14,55536
2350,1,1,24,81626
2619,4,2,25,399007
2014,3,2,18,228919
1992,3,2,9,467048
806,2,1,4,341255
2087,4,1,14,143231
1981,3,3,25,181114
1861,1,2,17,160364
2745,4,3,26,50572
565,1,1,0,230591
2748,3,3,10,160435
915,2,2,14,58998
1293,4,2,22,116858
1312,4,1,26,225935
1302,1,3,7,369402
1927,2,1,17,80046
2620,3,1,4,293363
1172,4,3,15,355662
1473,2,3,6,125721
2735,2,1,19,220691
2687,2,3,13,67357
2593,3,3,9,496583
1959,4,3,22,288091
1252,2,3,27,301638
745,1,3,29,135649
1831,4,3,24,95953
668,1,3,27,380149
2854,4,3,16,409435
1607,1,3,14,59794
809,1,2,23,270970
2111,1,3,8,447704
2897,2,2,25,474140
1606,2,3,28,189133
834,4,1,6,302788
2012,3,3,24,254276
786,1,1,10,341260
1734,1,3,3,390589
550,1,1,19,52738
2531,4,2,13,185804
1741,3,3,6,297446
2204,3,2,6,338040
744,2,2,29,490984
1611,3,3,5,375402
2667,1,1,29,146225
2780,2,2,5,279503
525,3,3,22,450190
711,1,2,16,465273
1468,1,3,23,168039
2679,3,2,11,51885
2938,4,1,6,251505
1746,3,2,26,351949
2101,1,1,17,248692
1213,3,3,20,254148
2455,4,1,18,195476
2704,3,2,9,232861
2507,3,3,4,368561
1863,4,3,28,241048
1653,1,2,5,478351
2014,3,1,18,420653
2138,4,1,19,266579
1328,1,2,27,207144
1151,2,2,8,383384
2535,2,1,15,258968
2050,4,3,7,387255
1189,2,1,25,422922
1496,4,1,23,80712
2337,4,2,15,394243
1870,2,2,21,449721
2450,1,2,27,135259
969,1,3,1,452222
2258,4,1,24,231458
650,2,1,22,67418
2552,3,3,23,235840
1344,3,1,15,308630
840,3,2,23,396715
604,1,3,26,483671
1410,3,2,18,60177
627,3,3,14,189404
2209,4,2,27,345292
1983,3,2,27,136711
2105,1,3,28,290083
1623,3,3,3,167971
500,4,2,24,344715
2104,1,1,24,257692
2538,4,1,2,369414
2967,4,2,3,264511
619,4,3,1,486052
2671,4,3,28,301680
1885,3,1,1,448597
2084,4,1,2,215954
2112,1,1,2,57912
774,1,2,11,140437
2037,2,3,14,433929
2528,4,3,1,270430
1183,3,1,13,191036
1828,1,1,13,151552
851,3,1,14,419870
917,2,2,14,326975
2889,1,1,8,127700
2487,3,1,19,321777
1151,4,1,12,293548
2127,3,2,9,379666
718,3,1,27,488430
951,1,1,4,215494
2754,1,1,20,440188
2230,2,2,9,137650
2435,4,3,8,472294
2372,3,1,2,295743
802,3,1,14,408693
2631,3,2,9,490148
2912,3,3,12,382378
517,1,1,16,256573
2930,1,2,21,301889
667,4,2,21,370923
1333,4,2,11,426892
565,2,1,14,315350
1294,3,1,4,240015
1480,4,2,0,316879
1617,4,1,17,286933
2494,2,3,15,354342
2630,3,2,28,355537
1021,3,2,23,354899
2563,4,2,1,201109
545,1,1,9,441628
2995,3,2,18,406366
2643,3,1,2,292975
1142,4,1,24,268744
2112,3,1,5,355867
1640,1,1,14,249717
811,2,2,22,174288
1469,1,3,8,279162
577,2,2,12,77556
1200,4,2,23,311414
875,2,2,9,168464
948,2,3,15,171839
1174,2,2,9,498096
1012,1,2,16,482042
823,1,1,23,414223
1135,4,3,20,344583
2647,3,2,23,250661
2011,4,2,15,404089
2704,4,1,24,322823
546,1,3,2,498314
1702,4,3,21,136625
2000,3,2,26,146114
996,3,3,14,256847
804,2,2,14,62329
2175,2,2,11,58419
1219,3,3,24,457347
1744,4,1,4,55800
1282,3,1,15,348911
2826,4,3,1,240946
1618,4,3,21,496923
1046,3,2,27,91499
2648,2,2,15,121277
2216,3,2,3,476748
1000,1,1,17,461770
1051,3,3,23,428761
2069,3,2,26,431659
1613,2,1,12,219599
1429,4,1,18,173752
845,4,2,1,368771
846,3,1,3,407924
2283,3,3,11,446056
531,2,2,2,458737
756,2,1,29,408329
2920,3,3,16,248047
2302,3,2,12,63780
1516,4,2,2,154598
1326,3,2,8,123065
1117,1,1,20,488187
1814,4,1,19,108769
2711,4,3,19,88269
2240,1,1,19,432929
1474,3,3,14,462860
1201,4,1,16,79917
2782,4,3,29,172071
2175,3,3,8,50439
1804,1,2,1,492462
2154,3,1,9,235481
1788,1,3,10,106256
2401,3,1,15,183895
2947,4,2,24,443556
2072,3,3,17,367969
568,2,3,27,336960
509,2,1,17,287224
2552,2,3,25,94902
1891,4,2,15,108210
1088,1,3,0,107081
1495,2,2,28,325483
1741,3,2,23,349356
2154,2,3,4,209022
2651,2,3,1,158764
1694,4,2,2,303839
2727,4,2,9,351399
2527,3,3,7,89062
2689,1,2,19,110706
1485,4,3,11,68627
1049,4,2,17,325657
2169,2,2,26,439147
1335,1,1,3,179415
1816,2,1,10,241974
1815,2,2,7,382082
2275,2,2,27,213536
927,4,1,16,262302
1953,1,2,9,117730
928,4,3,10,55680
2036,1,1,26,296935
2856,3,2,10,91033
2661,2,3,25,180328
2552,4,2,22,311061
2355,1,3,16,255566
2050,4,3,17,165685
2322,1,2,27,159349
1215,3,3,6,176572
507,2,1,28,295172
2026,1,2,2,220739
2034,1,2,20,478665
2677,2,1,16,324869
1339,1,2,5,462535
2086,3,2,27,225665
1593,1,2,25,264711
721,3,2,7,214731
2502,1,3,22,128691
2745,2,1,3,350929
925,4,1,7,119146
2444,2,1,15,456813
1214,4,1,4,108105
2761,1,3,12,209669
2557,3,3,22,218762
1328,3,3,27,159520
1509,4,2,11,266936
2784,4,1,12,303542
2572,4,2,23,117129
673,1,2,8,59225
1126,2,2,29,417874
1967,4,2,18,325608
2705,1,1,25,202341
1955,2,2,5,307646
2192,3,1,10,397834
2630,2,2,8,52818
1036,3,1,17,350681
2276,4,2,6,229130
1144,4,3,21,145863
2217,4,2,12,297388
1922,1,3,28,410798
2725,4,3,1,424197
1881,2,1,23,79509
1803,4,2,14,221567
1617,1,3,25,99226
2071,3,2,16,446648
1160,4,3,11,470235
2744,4,1,14,284276
1703,3,1,1,336678
1486,4,2,21,374178
958,2,3,17,408461
2981,4,3,12,381108
974,1,1,18,52189
2929,1,3,28,468331
700,3,2,7,410211
1596,4,3,6,299363
1484,2,1,26,165357
2519,4,3,21,86424
1926,2,1,15,367485
1709,4,3,23,398092
1028,3,2,18,226997
1899,2,1,29,312294
1463,4,1,22,498706
1378,4,3,25,225144
2020,4,3,0,289735
692,1,2,2,272526
1650,4,2,27,373977
2655,4,3,8,441729
1272,1,1,15,304430
632,1,1,8,132586
1190,1,1,19,324197
1789,2,1,5,166955
1769,3,2,10,394577
1548,4,2,10,343209
1440,4,3,4,404741
748,3,3,4,443387
1819,3,1,10,369948
1007,4,2,1,339124
1328,2,2,12,63100
1329,3,1,15,104019
2337,1,2,21,432828
2999,3,2,6,89339
2920,3,2,6,291397
2407,4,1,1,138644
2908,4,1,25,242085
2182,3,2,22,294981
2307,1,2,3,178874
2362,2,3,15,398738
1993,3,1,6,470733
852,2,2,25,223688
617,2,1,23,393158
1764,2,3,12,54181
1930,4,1,23,288695
2115,4,1,25,486127
2317,1,1,10,84322
597,2,2,14,83553
952,1,3,19,280186
1441,1,1,20,106034
2103,2,3,20,394044
1602,2,1,5,120265
597,1,1,15,240608
2560,1,3,23,180188
2691,4,2,5,114116
2404,4,1,2,204970
823,2,2,5,468207
636,3,1,18,231861
2149,4,3,8,381599
2914,2,2,18,271150
2339,2,1,10,443133
963,2,1,10,313727
1495,1,2,26,369655
1880,2,3,10,173496
2147,2,2,2,295983
2580,3,2,18,117323
1129,4,3,8,448359
1782,4,2,20,396926
1193,4,3,25,257215
1219,1,1,1,306896
2752,1,3,4,220748
2351,3,1,24,458763
1903,2,3,25,338036
1056,3,1,13,381904
1505,3,3,20,387805
1559,3,1,23,225812
1426,3,1,19,281471
1421,1,3,1,477430
751,1,1,26,286811
1870,3,3,27,474486
1538,1,2,8,111803
2284,4,3,25,478727
2491,3,1,16,106888
1479,4,3,26,415378
1504,3,2,18,498546
2019,3,3,24,327923
1288,4,1,7,475700
1644,1,1,22,66080
2340,3,3,13,454949
1274,3,2,10,459136
1175,4,2,10,386379
2002,1,2,14,445603
2834,1,1,15,458383
512,1,2,23,139584
2665,4,3,3,371185
810,3,3,22,308433
2687,2,3,24,208519
1049,3,3,12,244141
2335,2,1,13,378005
1938,4,1,29,406981
1745,3,2,5,141865
928,1,3,17,68322
998,4,1,6,334087
1314,2,2,19,430106
1700,3,1,23,435357
2530,1,2,7,104758
2958,4,3,22,475549
2263,4,2,24,452964
2626,4,3,18,341385
510,2,3,24,175405
2057,1,2,25,330756
1665,1,1,0,357989
1797,1,3,21,201083
2849,3,2,9,163824
620,4,2,18,197830
2699,4,3,27,311342
1185,1,1,28,299963
579,3,3,27,111632
1904,2,1,13,126491
2248,4,2,22,173605
2785,2,2,21,275232
530,1,3,25,230684
2371,1,2,13,348240
762,4,3,7,102628
556,3,1,27,177715
1136,3,2,28,79307
2455,2,2,1,385318
2160,1,2,14,458990
512,1,1,22,68283
1489,2,1,16,480898
1240,4,1,28,165850
2294,1,3,12,94566
822,3,2,8,238432
2772,2,3,0,216618
1019,1,3,21,309839
1774,1,1,16,432954
2162,4,2,15,293019
2739,4,1,15,79574
1738,3,2,17,74033
700,2,3,19,68542
2785,2,1,18,404905
766,1,3,13,98366
1640,3,1,6,56066
2746,2,2,27,213645
817,2,2,27,124721
1962,2,2,28,286631
558,2,3,8,131427
556,2,2,13,275602
1934,2,3,1,416839
1903,4,3,8,354823
2066,4,2,5,402913
2259,4,2,21,379472
1023,1,3,8,226244
1853,4,3,3,327307
1235,3,1,19,464147
2507,3,2,21,488497
738,2,2,19,279720
644,4,1,8,67569
2082,4,2,2,463594
1336,4,1,15,137981
1646,3,2,20,424293
2307,3,2,26,387336
1565,1,1,17,298982
1027,1,1,0,405125
1104,1,3,11,226983
2664,4,1,9,59563
1578,2,2,1,135770
2796,1,3,21,156234
1785,4,3,22,378373
2782,3,2,22,237731
668,1,2,21,407121
2925,4,3,6,303589
2360,4,1,7,435750
1278,4,2,28,358552
1967,2,2,5,212818
700,4,2,6,398539
2616,2,3,11,171973
2305,2,1,14,211238
2857,1,3,6,337428
2976,4,3,9,84355
1659,3,1,2,387016
1113,2,3,12,370593
1679,2,2,20,385899
1630,1,2,29,411440
1105,3,2,5,82137
1195,3,2,6,247303
2984,1,2,22,412084
1714,4,3,1,367020
1860,1,2,5,126478
1094,2,3,6,166049
1088,3,3,8,212246
827,2,3,23,208662
958,3,2,10,92149
1717,1,1,4,107656
547,3,1,6,281166
2181,4,2,11,122960
2548,4,2,7,153361
2768,3,3,3,58616
1717,3,3,10,268455
2585,1,1,25,146376
1078,3,1,12,440379
2317,4,3,20,68473
1660,2,3,23,299508
1809,3,2,4,167056
612,3,2,9,232300
1535,1,2,13,129467
2096,1,2,28,214747
1372,3,1,27,491335
984,4,2,20,420351
1874,4,2,24,303906
1044,4,3,6,307650
2052,3,2,25,198749
2338,3,3,28,215211
2584,2,3,4,274409
549,4,1,13,67159
1312,4,1,6,191183
2375,3,2,22,96837
1611,3,1,15,124856
2215,2,3,29,476515
1595,4,1,6,126829
2802,1,1,10,170710
1699,4,3,20,214835
1930,3,3,11,276120
826,1,1,29,408564
2634,2,2,19,300617
2896,4,2,5,328978
1424,1,2,2,374270
1584,1,2,23,337027
871,2,1,16,280064
1492,2,1,24,338909
2248,4,2,8,215569
556,1,2,10,163376
2134,4,3,22,236225
1394,4,3,10,119109
730,3,3,23,394011
1167,1,2,22,356585
2220,1,2,19,271824
1559,2,2,25,60887
1855,1,1,25,175820
1521,3,3,29,74846
1503,1,2,24,399120
1800,2,1,14,123153
2175,3,2,17,306246
991,3,3,20,365532
2831,2,1,16,130475
2814,3,1,23,299681
1270,3,3,19,55285
1660,4,1,17,464854
953,1,1,26,279310
2640,4,1,1,425504
2180,3,1,15,155854
2696,2,3,13,346692
2213,4,1,19,257742
1821,1,2,6,365244
608,1,2,24,219729
638,4,1,3,298503
968,1,3,7,336399
2739,4,2,28,397473
2693,1,2,8,435929
2933,1,2,19,253180
1801,2,3,5,99769
1785,1,3,25,300167
1785,4,3,15,162730
694,3,1,20,97385
2576,2,2,6,176768
1758,4,1,12,103627
2640,3,1,1,55152
1829,2,3,8,480980
2461,2,2,2,160771
2097,4,3,0,314159
1152,2,1,18,426675
1067,1,3,28,266375
1849,4,2,5,268889
1756,4,3,19,331942
1368,2,3,9,187940
1053,3,3,13,354454
2250,2,2,12,390765
1198,4,2,15,215971
805,4,2,24,245978
1739,1,3,2,50017
2261,4,2,16,304418
771,3,2,24,92286
1790,4,2,23,92430
1309,4,2,26,250853
750,4,3,24,486478
612,4,3,25,290235
2777,3,2,7,61509
2201,3,3,22,215511
2615,4,1,6,485924
514,2,2,8,377274
2803,4,3,18,482625
2799,2,1,8,383971
2990,4,1,14,253659
2026,1,2,17,196303
1858,1,3,28,459139
1215,4,1,3,497878
814,1,2,12,266413
2146,1,3,16,401607
825,3,2,0,170856
2633,4,2,8,286191
687,3,3,1,386028
2887,3,1,13,317379
2864,2,2,28,494049
2447,3,2,26,160871
794,3,2,27,64421
713,1,3,9,400613
770,1,1,14,106895
534,3,3,2,242853
1109,1,2,27,121755
2222,4,3,28,477448
1903,1,2,26,348138
2414,3,3,12,81505
1057,1,2,0,495077
1873,3,2,0,107111
1032,4,3,0,77404
1406,1,2,1,298119
1244,3,1,10,236021
1409,2,3,23,280738
2049,4,2,23,56406
517,1,3,7,434584
2319,2,1,28,128639
2478,3,1,23,268733
2962,1,2,26,368057
1578,2,3,12,291735
1302,2,1,8,479192
2031,2,3,5,327884
2584,1,2,3,196185
2300,2,1,3,60586
1536,4,1,26,460553
1633,2,3,2,138112
600,1,2,9,151535
2283,1,3,17,50732
540,3,3,11,74718
2860,1,2,13,249228
679,4,1,16,232468
2778,1,2,12,66363
1594,2,1,25,400861
2013,4,2,0,359681
1279,1,3,2,321378
1306,4,1,28,375060
2094,2,3,5,311675
2946,1,1,22,407566
2052,4,3,22,94735
1825,2,1,28,97923
2344,1,1,19,166832
2584,4,1,28,454984
1145,3,2,14,430555
2947,2,3,9,177545
2444,1,2,22,481121
804,1,1,17,282079
1192,2,2,21,438215
1532,4,3,11,80136
2867,3,1,11,488348
657,2,1,16,259011
850,4,2,12,313472
804,3,3,28,165962
2178,1,2,14,314153
1087,1,1,15,212089
2105,2,3,29,223895
1969,3,3,0,116577
1868,4,1,11,264481
2418,1,1,4,79364
2494,4,2,22,52591
1150,3,3,22,413517
903,3,3,29,150312
1668,3,2,11,412610
2228,1,2,22,324795
1893,2,1,14,382754
1308,4,1,5,168107
2750,3,1,18,175194
1531,2,2,0,71804
847,2,1,28,266527
1715,3,3,28,71612
661,4,1,27,399057
1772,4,1,3,378607
1889,1,3,10,420712
1407,2,3,11,57539
515,3,3,23,313000
2469,1,2,21,486281
1573,3,3,20,293147
1578,1,3,20,61829
2533,1,2,11,112453
2814,1,3,17,345511
1968,1,2,16,408087
2086,4,3,19,466052
1773,2,2,13,440597
2870,2,2,12,449431
888,1,3,11,312606
1276,2,3,15,117035
2322,3,3,23,124579
1066,2,2,19,381324
1430,4,1,3,368105
1564,1,1,0,84310
671,4,2,6,358662
2114,2,3,27,234318
2538,4,1,19,147793
1863,2,3,6,226340
1468,4,3,17,457568
1918,4,3,27,119258
662,4,2,22,442521
1239,4,3,12,53564
1315,1,2,4,226439
1067,3,1,17,454139
1348,4,1,13,149483
532,4,3,26,258315
1468,4,3,29,75531
1252,3,3,15,460437
849,2,1,25,156623
1511,1,3,4,482280
2766,3,3,23,293338
1979,2,1,13,64030
1288,1,3,22,193292
1658,4,3,23,312542
1461,3,3,5,113354
1916,3,2,21,406350
2216,1,3,13,264439
2151,1,2,21,173565
634,2,1,13,467544
1316,4,1,26,260891
907,2,2,2,190136
755,2,1,16,384094
2727,3,3,10,175759
596,3,1,6,291847
2033,3,3,5,268149
806,4,2,9,278670
909,3,3,24,432191
1923,4,1,3,238650
1200,2,2,13,472161
1026,4,1,13,73531
1776,4,3,16,432321
2244,1,2,23,426865
537,2,3,18,303168
1408,4,3,0,144938
2097,3,1,28,145429
661,2,1,5,203607
795,2,1,6,332098
2564,4,2,13,499731
2626,3,2,6,436583
1072,2,3,6,377849
2768,3,1,3,163872
1184,2,2,19,379839
2725,3,2,21,461682
2812,3,1,20,183055
1248,1,1,28,369370
1621,1,2,1,137789
1883,4,1,16,174368
2206,4,2,16,403133
2568,3,1,18,321325
1305,4,2,6,251248
927,1,1,25,51368
740,2,1,2,199380
1514,1,1,14,119503
1497,4,1,25,482184
2158,2,3,23,248643
833,4,2,19,428285
1415,2,3,29,460502
1873,2,2,9,430936
749,1,2,5,102743
2090,1,2,7,358859
2467,2,3,26,193349
765,1,3,21,152997
2983,3,1,8,223536
2955,3,3,27,243047
873,4,3,7,338724
2547,2,2,6,414816
2787,1,3,4,184801
2951,1,2,5,458870
2510,2,2,29,176911
2665,4,1,22,159197
817,3,2,26,396173
743,2,2,11,136760
2413,3,1,19,84760
2353,2,3,29,175897
2394,1,2,1,366856
1886,2,2,7,274923
2731,4,3,9,489703
1851,1,3,5,488178
2966,2,3,16,396568
2879,4,2,15,343726
953,2,3,3,378748
1991,1,3,13,430719
2582,2,2,4,250921
2420,3,2,9,320539
2963,1,2,15,220294
865,3,3,2,216009
2636,4,3,16,419612
1529,4,3,2,348872
2966,2,3,20,356395
1437,3,3,8,372008
2785,2,3,1,257080
2456,2,2,24,394817
1889,3,3,8,368078
1002,1,2,22,125608
