age,income,score,transactions,balance,churn
34,78757,323,59,30596,0
57,39761,790,6,41311,0
37,80378,669,21,31563,1
19,45387,745,14,37462,1
38,48934,737,43,49091,1
29,21525,324,50,20548,0
30,87106,300,39,32101,0
18,47466,357,45,9004,0
35,96863,719,76,28680,0
31,45341,801,98,19208,0
48,40509,574,39,32604,0
41,94297,500,51,34360,1
29,74676,469,62,592,1
69,93581,596,10,23122,0
42,21930,319,74,28481,0
53,70245,756,38,49119,0
31,49998,792,89,22581,0
35,67256,740,12,18318,1
41,94527,527,65,42216,0
43,43725,822,90,22913,0
47,91180,792,36,46925,1
21,32249,675,13,22767,0
57,24466,560,19,38751,0
46,50114,790,56,22374,0
35,21512,529,31,24880,1
21,65506,485,93,6233,0
50,87545,528,27,27275,0
55,50195,662,83,6361,0
62,97615,630,53,32547,1
19,89326,363,12,19403,0
68,22405,681,60,6128,0
29,99769,685,88,43865,1
39,29165,733,21,36748,0
43,32642,545,24,22567,0
31,81320,564,62,30939,1
26,33032,728,22,32545,1
27,40639,626,31,14645,1
24,59492,419,83,34664,1
58,71768,810,13,5586,0
64,71295,815,98,49781,1
37,76990,488,42,39149,1
32,71252,539,34,4312,0
60,96966,621,91,10722,0
67,36073,386,34,16383,1
51,96271,668,27,39636,0
69,73854,624,97,8133,1
68,58700,715,68,5911,0
41,34980,574,92,28594,0
19,74407,586,71,30301,1
37,36552,303,90,35995,0
30,74886,331,26,41673,1
42,34857,652,50,34771,1
53,59417,305,21,45999,0
20,64551,653,17,48739,1
64,33008,350,32,28567,1
29,46675,826,27,30671,0
50,60805,839,44,36883,0
45,54034,379,66,3443,1
28,33004,320,90,15414,1
34,21827,396,92,37401,1
57,79310,708,85,28,0
31,47229,446,40,8823,1
48,81842,703,35,24559,0
22,98076,393,90,7701,0
64,57454,725,21,45459,0
19,81388,666,6,7647,1
56,59602,676,32,37404,0
30,97056,703,66,49276,0
37,71306,724,12,24687,1
28,92465,671,82,35640,0
31,41106,720,14,609,0
59,45297,454,70,9931,1
21,60742,513,2,19282,1
69,45572,819,23,18559,0
64,86746,715,53,18687,1
20,42154,601,16,45670,1
28,97748,847,18,12798,1
69,76159,729,2,45653,1
67,39617,705,66,44297,1
42,57560,699,45,33655,0
40,77600,680,52,6596,1
34,21166,411,87,42496,1
48,88503,327,56,35545,0
31,90584,416,48,12120,0
64,75293,731,66,34508,1
35,36321,763,52,42214,1
20,88677,516,10,19750,1
62,55782,503,16,28845,0
52,96823,549,52,30347,0
56,84050,485,22,3475,1
36,72171,347,63,11653,1
40,20695,606,16,43921,1
48,58727,783,59,27265,1
41,85980,604,33,26184,1
67,21817,357,40,8572,1
34,89952,418,88,20768,1
44,88866,515,25,40373,0
26,69355,834,41,41088,1
49,62061,495,11,27594,0
31,68599,838,39,36090,1
39,49597,457,12,43285,0
57,87174,673,6,27203,1
31,27792,449,4,33556,1
54,69806,577,54,38675,1
69,43483,362,77,19524,1
31,80974,707,48,9266,0
45,24831,477,66,5146,1
61,62740,524,75,19946,1
57,99552,713,91,33269,1
50,90450,385,33,42592,0
65,22017,690,56,29585,0
39,20490,741,47,11797,1
57,89227,756,41,5739,0
54,55786,459,88,10536,0
52,46599,508,86,39716,0
62,88596,709,23,30865,1
45,66561,336,36,13061,1
54,44862,463,65,49665,1
20,21692,770,88,49614,1
39,71532,688,77,30573,0
63,46761,811,18,45322,1
55,33448,439,7,15641,0
56,51020,319,40,28378,0
40,20415,567,68,22826,1
23,61223,405,84,17750,0
31,56812,772,74,22590,1
39,22705,671,71,38842,0
53,29453,575,39,10195,0
37,67576,772,43,9697,1
68,26892,539,25,23321,1
59,99226,649,83,36183,1
40,89408,307,44,16308,1
30,36349,770,84,38184,1
61,73790,380,93,14940,1
63,35941,592,69,33309,1
62,98286,479,94,48462,1
68,31848,563,28,7505,1
26,49563,716,39,7320,0
65,70156,426,52,43502,0
58,62815,421,92,33467,0
23,50373,718,60,8586,1
63,30708,452,26,20083,0
45,82516,490,1,22447,0
24,46274,595,11,49842,1
36,62803,352,1,40941,0
48,58491,606,45,20296,0
52,55167,795,14,24459,1
46,72441,621,85,16629,0
64,86493,681,65,19566,1
61,89321,540,14,34903,1
50,64392,537,10,40658,0
60,36534,652,56,31177,1
39,35744,740,90,30206,0
20,67695,421,99,29070,0
66,73972,394,84,26461,0
30,50894,361,3,41134,1
57,52464,393,89,7793,1
30,24368,568,50,30633,0
57,80888,373,24,46630,0
57,83512,664,51,48511,1
30,92003,702,70,1705,0
29,33403,390,60,10028,1
22,47072,617,66,4885,0
30,48796,735,94,36027,0
29,38509,728,4,11802,0
68,27373,810,98,13363,0
27,88366,459,84,19140,0
32,43876,576,99,38794,1
19,74670,460,18,36485,1
55,24467,679,69,30786,1
33,30814,550,15,31817,0
50,61377,302,34,1959,0
51,30325,386,40,45430,0
42,44646,738,38,8465,0
64,58080,309,19,19425,1
43,23378,843,64,17665,1
65,84518,535,85,16396,0
57,63753,632,68,25655,0
31,44533,766,21,26285,1
59,89895,594,31,8955,1
32,83446,308,54,24948,1
52,97912,567,90,12221,1
55,34459,305,74,48076,1
48,80332,767,8,47918,1
51,83367,405,82,32186,0
26,68502,727,18,8665,1
24,35863,435,58,35135,1
68,93534,500,77,1931,0
55,75139,576,66,24971,1
18,83780,819,10,33163,1
40,73754,590,49,17003,1
31,67208,789,45,15766,0
42,43354,325,64,30737,1
25,67354,349,14,49559,0
57,73889,683,67,16942,1
23,91711,709,44,8743,0
32,98831,743,65,22188,0
68,49545,320,79,19010,1
37,60817,480,45,29298,1
34,77947,507,98,32569,0
49,88051,844,36,17522,1
23,28832,403,39,6253,1
56,81383,354,74,8312,0
45,60583,342,57,42847,1
27,33267,447,77,27227,0
26,99120,449,31,26632,1
54,22026,548,25,39483,1
51,99535,480,21,44475,1
30,48022,666,8,36089,1
28,98991,718,8,6761,0
28,53952,600,18,28754,1
47,25293,560,17,20473,1
45,67351,303,39,29133,0
40,49432,442,74,8999,1
32,55491,643,12,27986,0
63,56039,543,54,587,1
28,60541,395,69,48606,1
30,55535,763,20,46883,0
45,27886,376,42,12440,0
67,64058,380,96,7609,0
24,35601,368,37,20659,0
48,89705,472,98,18045,0
66,31671,371,27,37901,1
60,98949,602,71,13830,1
39,45399,567,16,31449,0
55,60256,721,15,673,1
31,99233,422,61,47078,0
23,42411,803,60,31794,1
63,80317,796,1,18506,1
48,82375,349,18,45003,1
68,34988,846,83,15485,1
20,49920,688,89,14673,0
34,72568,713,56,4020,1
37,51505,698,65,5308,1
24,95638,638,96,1366,0
34,42226,401,96,9137,0
59,70644,593,41,23047,0
67,54091,533,10,48074,1
43,48481,511,57,19346,0
67,34271,639,31,21013,1
44,82011,668,21,36008,0
30,69354,376,1,9400,1
57,55416,389,88,24666,1
22,23674,393,33,5406,1
18,33972,559,90,19728,0
34,78061,385,87,25707,1
54,56662,695,19,34145,1
33,57871,318,18,10506,0
35,28066,685,46,5331,1
45,75836,682,97,17465,0
20,36656,558,11,11591,1
35,68825,415,75,11507,1
58,78480,320,96,4600,1
47,97035,395,99,26110,0
49,44941,748,56,36707,1
31,57325,385,29,45603,1
34,65423,406,3,46378,1
36,54376,493,19,30802,0
64,74081,745,68,37373,1
25,72484,786,99,5907,1
21,51121,599,35,25604,0
41,35274,629,45,26073,1
46,60360,439,11,23893,0
64,87976,341,83,18870,0
66,29323,415,50,10265,0
28,88034,768,52,16049,1
29,62615,329,25,3657,1
31,78077,613,84,7767,0
24,47876,482,85,2099,0
20,79735,775,75,47331,1
49,87215,664,16,19423,1
28,36381,582,26,23670,0
19,68733,513,74,8792,0
34,62070,547,71,5134,1
59,26129,696,5,45926,1
40,23684,468,1,19124,1
50,93110,700,30,9633,1
39,34587,467,24,12523,0
62,85258,793,20,31375,1
31,98120,617,91,23531,0
66,40575,827,49,4989,0
59,96322,562,15,49649,1
37,32094,604,89,9086,0
64,83351,505,47,28869,0
34,97900,782,38,17645,0
62,70253,693,71,1643,0
25,95610,748,97,33017,1
24,44456,502,11,48238,1
66,23633,340,45,17320,0
54,44043,303,13,24020,1
53,44127,592,48,46124,0
66,57810,598,55,42369,1
21,90605,849,4,48176,1
47,95353,423,30,15973,0
69,90599,642,48,37352,1
69,63252,323,99,15269,0
38,48670,760,85,48726,1
60,63079,796,67,1130,0
59,78275,641,70,17516,0
44,76079,401,56,24976,0
20,22228,348,45,34437,1
48,43929,395,3,25391,0
33,71874,661,16,427,0
30,44525,658,11,2106,1
24,89358,402,52,4592,1
28,70237,399,72,22926,0
68,59128,832,90,41818,1
51,68576,421,51,29346,1
59,82910,751,10,49362,1
28,43196,644,97,40193,1
49,23839,635,34,1043,0
62,83945,629,93,41132,0
69,41511,708,83,39101,0
50,78727,628,25,12988,1
46,30589,583,22,41568,0
67,89021,560,91,24144,1
48,28616,529,15,20199,1
44,71854,337,53,29111,1
56,91606,583,91,49256,0
56,52471,757,17,45623,0
19,60268,767,1,3595,1
25,47272,491,7,29297,0
60,79377,805,41,42642,0
66,80835,697,83,35893,0
64,64659,563,61,28996,0
29,54736,558,53,1005,1
37,40492,303,81,45775,0
57,96506,746,7,31877,0
22,39985,760,32,13626,1
57,77272,753,39,47978,0
30,53799,431,89,9305,1
63,34761,320,25,3042,1
63,60711,726,81,16662,0
18,21083,350,11,38500,1
50,75922,770,20,31285,0
26,61515,687,36,8304,0
56,83450,331,61,26239,1
58,70610,328,38,6161,0
51,54003,650,6,11561,1
25,64541,477,67,18132,0
50,25255,468,45,36985,1
53,67575,601,27,43183,1
29,86983,821,67,26764,0
53,31260,767,10,27931,0
36,83904,450,10,29965,0
56,35437,683,55,21992,1
38,30644,303,31,2781,1
50,94016,483,6,33506,0
60,48520,407,24,17716,1
21,21900,345,79,21672,0
21,57630,384,79,48679,0
61,30048,432,3,5141,0
66,39768,468,34,32997,0
28,55141,765,47,16972,1
43,73389,609,19,41295,1
22,93947,687,30,38476,0
47,76856,632,34,29841,0
19,87494,623,52,6728,0
41,71882,453,62,31879,1
58,94598,505,85,49554,1
33,96983,609,67,47601,0
35,53936,680,97,12239,1
29,33470,379,81,19786,1
43,25915,589,34,35114,1
29,96934,816,55,47231,0
43,22065,650,98,47195,0
21,53999,636,83,38047,1
67,98785,516,1,10514,1
44,86963,327,71,5382,0
40,73884,444,59,26775,0
38,94070,787,86,11398,1
65,24974,577,33,25703,1
54,43429,639,37,11431,0
51,72365,764,50,30052,0
62,58767,473,70,334,0
28,90514,687,3,43926,1
20,70367,694,35,23118,1
23,40779,357,16,40952,1
31,89128,594,47,15559,1
23,88071,441,90,3784,1
30,21675,543,34,44644,0
46,34549,422,35,35571,0
50,96672,508,64,35605,0
34,51399,710,41,22933,0
28,83785,769,46,6547,1
19,95424,403,5,41108,1
51,30606,429,60,40461,0
48,53673,803,54,36308,1
33,31847,625,50,10773,1
61,80698,770,18,160,1
58,22124,576,49,24653,1
54,93721,744,41,19852,1
39,33644,502,24,31345,0
63,96469,581,30,17146,0
52,25660,674,15,48853,0
24,73463,600,82,39114,0
67,44027,656,16,33660,0
32,71265,539,18,1291,0
21,72692,314,91,36895,0
41,81127,623,1,1270,0
30,82027,344,11,15504,0
46,66769,708,39,28646,1
67,29926,432,74,11516,0
33,76969,610,9,2145,0
18,40249,360,39,2135,0
51,39059,560,17,32891,0
51,65909,510,99,48446,1
33,29574,640,35,10709,0
49,83929,499,74,18710,1
57,46521,703,33,26197,1
50,78052,800,79,38867,0
32,80949,675,53,22188,0
34,54807,463,64,42059,0
34,85807,553,73,43344,1
52,59208,305,73,10876,0
46,95139,456,27,13850,1
29,55680,367,22,36327,1
54,73595,479,42,19244,0
30,42730,446,53,27575,0
38,84446,665,96,13312,0
56,77156,317,81,18980,1
18,88521,805,65,26061,0
66,76434,586,46,29939,1
30,57399,300,14,35957,1
60,41035,305,31,40874,1
66,58641,336,72,9518,1
41,91747,557,13,28437,0
41,66936,357,5,21775,0
30,98800,534,28,41738,0
53,95834,731,4,21144,0
22,37164,770,29,49073,0
31,33444,599,75,14168,1
33,56350,599,32,595,0
23,75419,582,43,30478,1
19,36444,774,14,48646,0
62,45419,848,63,49045,0
67,21408,457,3,48984,1
21,58306,387,71,36366,0
33,62651,659,92,18551,1
53,42977,442,46,7433,0
65,69732,310,97,27268,0
38,80576,662,82,25221,0
34,65022,411,93,32898,0
20,71520,349,85,26142,0
41,34940,841,34,7978,1
23,39223,829,95,21831,0
36,45096,621,44,44192,1
51,27870,675,14,19835,1
39,63426,483,18,48918,0
63,40796,364,45,29963,0
20,68783,562,45,7945,0
56,81255,410,90,18848,0
40,28726,774,25,9458,0
28,98269,636,54,22447,0
49,76814,606,2,16244,1
64,94448,631,33,31511,1
47,25852,607,44,35610,0
67,59230,511,86,40923,0
53,72822,524,43,10519,0
20,99043,498,59,20278,1
65,66416,720,40,1033,0
57,89127,532,85,37939,0
57,75804,567,56,10514,1
53,43283,396,2,11633,1
33,84455,741,95,36937,1
49,28711,582,6,4655,0
53,72323,451,54,16453,0
55,82545,612,70,16109,1
39,94572,728,93,11950,0
55,97405,349,23,33287,0
67,29598,505,58,6103,0
29,23776,837,98,28504,0
57,59230,759,7,38617,1
31,44116,525,5,27150,1
24,35970,676,47,12914,0
19,42594,400,48,18293,1
57,29373,379,94,27722,1
28,43098,786,3,9639,0
66,40640,567,79,27459,1
27,53295,346,72,23874,1
56,52002,429,31,884,1
23,77838,604,23,20703,1
26,22844,443,80,31010,1
36,96045,819,79,16512,0
42,67338,807,90,23160,1
22,96012,402,49,24081,1
22,59108,848,37,7674,1
20,52572,666,93,39685,1
21,67252,790,19,35998,1
29,64933,336,73,9007,1
43,64439,720,32,11319,0
23,34619,791,62,18096,1
27,30618,743,20,39303,0
44,46296,397,60,30789,1
57,78832,682,11,45926,0
40,53813,407,34,10198,1
66,75063,592,96,29379,0
55,65927,667,53,48748,0
47,32561,548,49,22667,0
54,77243,731,65,20110,0
59,57176,359,39,32707,1
42,83049,742,96,19849,0
61,23840,314,68,43549,1
31,78212,606,54,4198,0
20,77113,637,68,25773,0
69,76817,507,23,42793,0
21,52072,590,63,23718,0
53,30257,615,57,27068,0
42,84631,402,89,45949,1
25,44405,566,36,40528,0
42,73001,690,52,11990,0
53,92077,560,99,44337,0
47,40274,365,19,49030,0
68,82094,812,21,7008,1
32,90048,702,84,134,1
62,62819,474,79,33119,1
54,35285,465,44,15603,0
64,32594,571,32,6492,0
67,86167,313,33,5533,0
22,48772,549,60,44151,1
35,57537,561,69,9292,0
49,38217,559,6,13877,0
59,46376,692,98,49445,0
67,65675,546,1,11502,1
24,98830,496,15,46842,1
59,93056,381,57,24020,0
21,30735,457,1,5349,0
58,44677,359,19,18205,1
62,40722,398,22,9489,0
48,81787,390,26,41789,1
33,89664,444,6,30305,1
62,77424,478,60,47388,1
20,38594,553,55,38448,0
64,97319,439,66,48556,0
66,66633,310,47,33714,0
20,79870,324,46,43155,0
20,43172,395,99,8238,0
46,42459,833,50,44114,0
36,52983,534,77,34885,1
21,34581,494,21,11576,1
52,64669,707,26,34262,1
33,23788,664,4,14235,0
68,20601,668,99,4864,0
43,66144,425,68,16758,1
55,79474,396,53,40246,1
66,84897,743,29,13041,1
21,75608,435,24,17342,1
66,37075,381,61,26598,1
51,25770,538,87,47977,0
68,38461,676,66,21303,1
38,58573,757,56,27370,1
58,75355,838,10,48055,1
42,97654,501,69,4071,0
20,68523,510,54,39520,1
62,56442,790,20,32943,1
35,38437,516,67,1940,1
42,79101,693,38,41039,1
49,71204,711,16,34223,1
37,49861,372,54,26599,0
32,91094,789,3,18220,1
19,32351,663,64,22928,0
47,98387,440,93,47303,1
29,33489,805,28,7977,0
56,23344,495,58,46552,1
60,44456,301,30,35263,1
64,69831,460,42,41438,0
24,43075,785,65,35958,0
39,76755,554,75,28379,0
25,23102,331,72,4275,0
40,93912,361,26,26943,1
40,41069,623,55,4453,0
29,99979,675,57,24687,0
23,73084,413,80,1394,1
31,46214,377,91,6578,1
45,99566,317,92,21064,0
22,71630,438,13,19761,0
21,96363,635,41,25619,0
42,35968,442,97,30787,1
44,37339,502,81,39266,0
21,52504,774,97,47931,1
46,32153,738,48,35125,1
58,83207,742,85,25023,1
64,60541,362,45,31530,0
67,88885,484,80,25081,0
44,81725,453,7,41096,1
24,42943,661,31,10870,1
49,51699,384,90,7806,0
37,47813,485,80,37661,0
65,87322,808,80,18224,1
60,76449,758,86,30976,0
53,58776,645,47,1072,0
47,92255,724,17,26532,0
46,87577,442,32,61,1
45,85201,760,25,37649,1
57,48342,739,88,1637,1
20,94139,674,38,42965,1
44,78810,350,57,4662,1
38,50867,529,9,40786,0
54,53890,446,68,42383,1
52,38878,791,95,12265,0
37,42986,374,70,21108,1
26,36172,631,93,36784,0
52,44529,812,45,637,1
27,29710,338,65,3519,1
66,23149,599,9,12984,1
38,53984,320,65,42051,0
60,34773,711,66,19086,1
58,76507,694,69,19723,1
60,25965,376,30,48207,0
41,47180,544,11,11327,0
56,76521,597,18,35804,1
18,62725,599,34,984,1
63,82688,383,48,15052,0
60,43364,523,6,18835,1
48,41523,514,25,21537,0
63,48112,490,25,29842,1
40,59525,578,72,7030,0
35,99048,764,89,49243,0
44,67438,371,19,2450,0
58,65133,815,62,41169,1
61,55464,675,33,2224,0
63,28608,450,38,1820,1
29,41560,333,54,5403,1
52,41236,780,27,47239,0
58,51689,569,94,11618,1
33,58650,768,95,7848,1
38,20294,815,33,17112,1
44,94449,773,90,7635,0
53,73600,345,50,30918,1
30,70544,848,16,18459,0
67,85139,489,51,40216,0
25,77816,719,26,10679,1
25,37215,834,50,5945,1
33,78229,843,31,219,0
40,86224,422,61,7029,0
62,46815,338,95,46053,0
51,81644,801,35,17484,0
41,60341,616,68,18653,0
38,72079,442,8,20582,0
30,59118,307,70,45639,1
67,76982,389,80,46402,1
68,21341,639,16,36233,0
21,49560,365,49,44293,1
46,67212,476,78,46418,0
21,65210,700,6,39973,0
38,49801,596,61,4569,0
51,67056,830,82,24977,1
26,33726,530,54,7770,0
42,86393,759,54,15507,0
58,41013,310,96,46061,1
38,77320,359,44,40325,0
21,91711,320,33,37456,0
33,79711,727,32,18546,0
42,42205,450,79,11416,1
57,20987,808,26,6578,0
24,41494,824,95,25871,0
62,71689,608,3,7237,1
22,25166,310,92,32676,0
57,77344,442,94,26566,0
38,23535,467,35,32187,1
51,97142,538,26,30952,0
65,62408,568,71,39862,0
39,75693,666,66,8464,1
44,26378,544,29,35330,1
67,70690,347,45,30555,0
27,36192,741,21,31478,0
58,80715,547,68,5473,1
32,72308,309,14,11676,0
20,54561,732,70,1015,0
64,50795,403,83,3331,1
30,85229,398,61,10067,0
43,66992,470,10,10315,1
18,27356,602,7,10594,0
64,92187,444,62,29693,0
26,42790,385,90,46921,0
56,44353,709,45,23565,0
43,98139,712,32,23607,1
35,93749,502,52,18453,0
25,52639,435,80,47592,0
32,73756,809,25,19991,0
63,87820,402,88,28377,1
39,29925,309,41,13834,0
55,71838,379,88,10195,1
63,28094,802,45,26183,0
21,28472,607,2,23452,1
38,52284,734,4,34504,1
33,66831,369,90,4133,0
63,25922,321,10,28101,1
42,55919,677,97,15323,1
40,76828,848,80,22617,1
34,84075,407,21,32520,1
49,31609,686,5,49752,0
65,23574,472,45,21119,1
19,31662,389,48,31997,1
18,96592,462,6,39813,1
64,71913,789,26,6715,0
26,67215,791,19,13114,0
62,34603,849,50,44948,1
43,54107,749,43,37102,1
66,29429,423,79,46824,0
52,90565,765,23,14858,0
23,44255,777,41,48016,0
58,73262,535,83,18482,1
26,84504,315,14,40639,1
37,72976,605,18,25398,1
66,92793,803,21,14805,1
43,90826,719,89,30351,0
58,80690,678,67,37588,0
51,54138,488,81,9420,0
64,38551,637,15,7989,1
27,41718,498,14,27317,0
59,61457,566,99,20985,1
47,97116,503,36,28343,1
21,90860,423,15,23031,1
56,95403,552,86,30700,0
51,40382,490,77,2822,1
26,38216,694,16,27774,1
22,96443,844,17,3551,1
59,60423,311,81,48652,0
26,71118,687,6,8799,1
42,21463,478,37,17784,0
57,78090,532,28,31314,1
20,39407,342,88,27947,1
42,64316,371,72,33319,0
68,94766,772,24,24772,1
35,40621,811,68,19995,0
63,43183,643,96,35920,1
28,65530,551,67,2855,0
40,85819,830,38,22621,0
51,22765,812,58,33594,1
51,39491,598,88,33073,0
64,50089,354,91,29804,1
41,54997,468,23,42638,1
67,95144,490,85,3939,1
65,95995,617,20,393,0
19,93485,612,67,6291,1
30,32669,831,83,22941,0
37,33759,416,40,42338,1
24,80498,551,1,49887,1
26,72280,816,21,39482,0
68,58839,350,50,30393,1
51,56790,803,10,1534,1
18,27012,539,30,45835,1
25,65862,340,29,38957,0
68,46419,745,3,6022,1
58,34654,386,12,40465,0
18,38748,724,93,15515,0
42,50747,574,69,12652,1
66,54468,840,84,29066,1
46,63230,421,44,39521,1
69,78327,431,77,5707,0
34,97485,496,3,42827,1
24,61434,501,18,1038,1
52,69103,725,58,47029,0
33,57972,483,72,45991,1
38,87319,303,39,5138,0
19,96867,666,57,34471,1
43,73374,703,15,14772,1
22,28385,697,17,649,1
22,46580,548,97,38599,0
26,98470,660,16,41877,1
64,87684,657,42,11796,1
65,33382,522,64,18067,1
35,45665,449,4,7876,1
36,53664,806,22,38912,0
23,71330,422,70,5240,1
44,25120,818,79,44152,0
66,38466,409,69,13466,0
48,61743,648,15,44323,1
38,79028,466,29,10784,0
31,78354,333,84,19545,0
33,88868,645,83,43198,0
19,83481,791,67,45197,1
35,98937,742,98,14805,1
35,56566,584,60,40811,0
52,58431,369,32,6815,1
31,89060,799,94,39946,0
35,39547,326,33,16869,0
36,89068,623,99,36188,0
42,82751,663,83,26569,1
52,50893,726,1,3965,0
24,31116,592,80,7026,0
20,46844,477,65,39027,0
55,63289,839,26,12864,1
29,30218,781,43,13488,0
33,90933,525,27,49894,1
37,26623,624,58,46163,1
22,75704,744,54,605,1
48,69862,634,46,11169,1
41,73404,505,25,11836,1
60,62980,536,19,40119,0
62,86532,578,9,422,0
61,61952,732,30,29289,1
41,93426,827,45,18353,1
33,49976,350,55,41451,0
64,79911,635,11,26090,1
56,93090,365,93,45686,0
45,67390,713,35,14109,1
22,61415,787,17,32879,1
30,28991,334,58,31974,0
32,95910,799,28,30349,0
58,77485,742,98,32802,0
66,50219,424,2,14644,0
21,24180,838,77,5431,0
31,42904,411,21,13340,1
44,51265,463,42,22439,1
27,29001,457,87,3392,1
40,38239,492,67,29364,0
54,56587,685,76,372,1
45,36376,311,19,26466,1
61,25679,626,5,40895,0
30,29232,306,34,30800,0
53,97460,412,51,30971,1
49,23342,315,42,18953,0
62,86073,486,43,24905,1
54,62123,538,33,49920,0
18,53275,779,97,25611,1
21,92648,455,73,49550,0
18,79619,544,92,14249,1
35,71041,539,67,43360,1
30,60148,449,94,2885,0
42,43904,442,21,17645,0
38,61900,612,19,12317,1
32,69854,314,96,9333,1
58,95291,631,90,17947,1
58,33917,697,63,18537,1
27,63992,365,67,36126,1
52,50652,582,11,22800,0
21,96081,343,25,35040,1
22,33775,508,63,34772,0
61,86825,324,39,42801,0
55,33080,342,74,26034,0
55,54699,662,60,15446,1
41,38919,452,45,26306,1
41,70248,656,1,27056,0
57,94963,673,47,36187,1
36,43260,668,50,31387,1
37,49860,699,71,2768,1
69,32730,435,17,18445,1
45,21904,327,97,38351,0
60,20395,406,94,29272,1
28,68036,647,31,3842,0
40,47147,741,27,33988,1
32,91223,457,31,8030,0
38,22982,552,90,35318,1
53,64000,686,18,35139,0
30,54103,368,73,39542,1
49,83594,483,92,47042,1
27,77247,808,87,10555,1
63,80062,324,71,10982,1
54,94941,756,48,12386,0
49,23585,602,26,11702,0
66,84080,468,85,47812,0
37,57504,799,96,45645,1
56,84307,304,29,30497,0
64,37758,466,99,48758,1
68,77723,423,56,39937,0
33,45068,627,91,23037,1
56,65063,838,58,32846,0
22,81795,407,68,32033,1
34,69812,782,31,1155,1
53,51050,707,75,22121,0
65,78763,606,98,29836,0
43,35577,582,46,41544,0
68,68929,467,13,3203,1
21,62697,407,65,35358,1
55,44058,755,84,15787,1
63,29977,521,34,16695,0
43,77288,643,31,16133,0
37,96108,301,42,24006,1
30,31979,331,61,41021,0
63,42608,549,91,32869,0
24,93318,731,91,26354,1
41,44360,396,90,27669,1
20,72727,808,62,23907,0
20,89191,392,15,267,1
67,94030,473,27,6575,0
33,63790,587,42,19757,0
48,85374,348,64,27079,0
50,72427,411,39,42392,1
31,55887,520,1,30842,0
67,45039,567,91,43049,1
69,94015,545,73,21117,0
65,62327,849,94,47414,1
42,90507,685,76,1560,0
68,42024,498,9,26959,1
19,59820,361,68,29264,0
58,83514,435,31,32693,1
30,68740,702,49,48489,1
35,62631,481,40,38083,0
37,64212,801,3,25711,0
19,87305,314,17,10237,1
24,51177,491,34,44257,1
30,94509,695,42,33689,0
25,51400,502,32,4209,0
20,45801,387,39,42580,1
31,84199,564,54,44991,1
40,26789,320,43,22585,0
25,21796,715,66,33208,0
50,88502,511,11,16071,1
44,27379,571,8,47043,1
28,65694,606,35,16129,1
50,76969,647,27,45394,1
28,80625,641,93,42790,0
55,42419,549,73,26434,1
60,70095,598,73,36808,0
35,42623,770,17,41711,1
45,92947,567,2,37734,0
58,20294,574,22,25197,1
43,53326,673,61,34379,1
47,99706,363,81,16651,1
62,98983,836,2,19195,1
27,83613,520,88,5112,0
59,94194,778,90,1190,0
20,56853,533,17,11719,0
49,50825,849,67,49769,0
53,56817,399,22,14322,0
27,44178,655,33,12565,1
38,24498,704,55,2519,1
68,93815,363,70,32946,1
67,99839,652,54,4186,1
